Data File	C:\Users\User\Documents\OmniSEC Data\System 1\Standards_and_Kreith_June2020\2020-06-23_18;45;05_PEO_Std_green_01.vdt
Sample ID	PEO_Std_green
Method File Name	calibration_june_2020_2-0001.vcm
Date Acquired	Jun 23, 2020 - 18:45:05
Solvent	water+NaN3+NaNO3
Operator	admin : Administrator
Column Set	A6000M+A4000
System	System 1
Flow Rate (ml/min)	 0.700
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00233
Det. Temp (Deg C)	30.000
Col. Temp (Deg C)	30.000

Ret. Vol.	RI	RALS	LALS	IV - DP	IV -  IP	Adjusted RI	Adjusted RALS	Adjusted LALS	Adjusted IV - DP	Adjusted IV -  IP
0,98233	18,586	25,758	86,718	-81,469	44,10291					
0,98467	18,616	25,758	86,734	-81,576	44,10046					
0,98700	18,601	25,727	86,749	-81,606	44,09863					
0,98933	18,632	25,727	86,779	-81,622	44,09619					
0,99167	18,647	25,712	86,764	-81,668	44,09680					
0,99400	18,677	25,666	86,779	-81,668	44,09742					
0,99633	18,662	25,681	86,795	-81,606	44,09925					
0,99867	18,647	25,712	86,795	-81,591	44,10047					
1,00100	18,632	25,712	86,734	-81,561	44,10169					
1,00333	18,647	25,681	86,734	-81,515	44,10229					
1,00567	18,632	25,681	86,734	-81,500	44,10291					
1,00800	18,647	25,605	86,703	-81,500	44,10352					
1,01033	18,662	25,651	86,749	-81,515	44,10291					
1,01267	18,632	25,651	86,825	-81,561	44,10474					
1,01500	18,601	25,712	86,840	-81,561	44,10657					
